Dish Name,Image URL
Lamb Curry,https://www.fbgcdn.com/pictures/5a4d56ec-d12d-4dbe-b3f8-708da52c1290_d3.jpg
Lamb Vindaloo,https://www.fbgcdn.com/pictures/4b10e8bd-9850-4f48-884d-65be458a1e99_d3.jpg
Tandoori Roti,https://www.fbgcdn.com/pictures/da69e36f-1c62-4aad-9864-bf5b08ba9a83_d3.jpg
Garlic Naan,https://www.fbgcdn.com/pictures/cf16ca23-5bd6-432a-b288-4985a90c7050_d3.jpg
Naan,https://www.fbgcdn.com/pictures/778c53e8-5d36-4e3a-9549-116a07c82351_d3.jpg
Roti,
Coconut Rice,https://www.fbgcdn.com/pictures/aba85790-b8f4-4ca5-ba54-876fe59ec998_d3.jpg
Steamed Basmati Rice,https://www.fbgcdn.com/pictures/eb751a17-413b-4b5d-91e0-4abd318d159f_d3.jpg
Egg Fried Rice,https://www.fbgcdn.com/pictures/8fc8dc59-6657-4f87-bcda-0bcc80de1304_d3.jpg
Jeera Rice,https://www.fbgcdn.com/pictures/0febb882-9a6a-4c81-8cec-578f8ac3415d_d3.jpg
Peas Pulao,https://www.fbgcdn.com/pictures/d0c8e64f-c4af-4d4b-b33c-80eadcbcfaf2_d3.jpg
Veg Fried Rice,https://www.fbgcdn.com/pictures/1c547fa2-581f-462f-8a37-7741dcb92960_d3.jpg
Chicken Fried Rice,https://www.fbgcdn.com/pictures/ebba3f1b-d9a4-4f15-b66b-9039eea415d0_d3.jpg
Egg Roll,https://www.fbgcdn.com/pictures/12d3204b-72c1-42d0-81e9-b3321918f9ff_d3.jpg
Veg Roll,https://www.fbgcdn.com/pictures/94938f49-904f-4878-a22f-90a54184e29f_d3.jpg
Cheese Naan,https://www.fbgcdn.com/pictures/70a8e366-2627-4abe-84c5-3a884c6eef54_d3.jpg
Godzilla Chicken Wings,https://www.fbgcdn.com/pictures/4bc0d8b8-6c5b-4819-9fdf-18d8f23f3e64_d3.jpg
Egg Curry,
